ID;Name;Surname;PhoneNumber;e_mail
1;Olga;Shagal;+79610831991;Kovalenko@gmail.com
2;Anna;Shapiro;+79893115620;Moroz@yandex.ru
3;Svetlana;Galich;+79490526282;Mironenko@mail.ru
4;Anton;Galich;+79382715584;Moroz@yandex.ru
5;Alex;Duma;+79347984642;Sidorenko@gmail.com
6;Inna;Mironenko;+79139490819;Duma@mail.ru
7;Svetlana;Duma;+79933032140;Kovalenko@yandex.ru
8;Viktor;Mironenko;+79041041457;Shagal@mail.ru
9;Alex;Shagal;+79749312880;Galich@yandex.ru
10;Alex;Galich;+79939564620;Mironenko@mail.ru
11;Anna;Kovalenko;+79273434789;Galich@yandex.ru
12;Viktor;Galich;+79496934878;Shapiro@yandex.ru
13;Olga;Shapiro;+79018998230;Galich@mail.ru
14;Inna;Duma;+79049556371;Duma@mail.ru
15;Miron;Galich;+79134546916;Duma@mail.ru
16;Anton;Kovalenko;+79267015203;Duma@mail.ru
17;Anna;Shapiro;+79149065024;Duma@gmail.com
18;Anna;Shagal;+79948212989;Sidorenko@mail.ru
19;Viktor;Kovalenko;+79322104205;Moroz@gmail.com
20;Inna;Kovalenko;+79426537873;Shapiro@yandex.ru
21;Miron;Duma;+79196053648;Kovalenko@mail.ru
22;Viktor;Kovalenko;+79781528772;Galich@gmail.com
23;Viktor;Duma;+79996530420;Kovalenko@mail.ru
24;Vasilisa;Shagal;+79174286941;Shapiro@gmail.com
25;Vasilisa;Sidorenko;+79266812175;Shapiro@mail.ru
26;Miron;Mironenko;+79809632303;Kovalenko@yandex.ru
27;Alex;Duma;+79855855448;Kovalenko@yandex.ru
28;Alex;Mironenko;+79471593250;Galich@mail.ru
29;Anna;Shagal;+79662999280;Duma@gmail.com
30;Anton;Mironenko;+79602280572;Sidorenko@yandex.ru
31;Anna;Mironenko;+79982936692;Moroz@gmail.com
32;Igor;Mironenko;+79382523544;Kovalenko@mail.ru
33;Miron;Shapiro;+79150428175;Shagal@mail.ru
34;Viktor;Shagal;+79091549946;Sidorenko@mail.ru
35;Vasilisa;Shapiro;+79627280214;Kovalenko@mail.ru
36;Olga;Shagal;+79451187132;Sidorenko@yandex.ru
37;Olga;Sidorenko;+79267285917;Duma@yandex.ru
38;Olga;Moroz;+79652559626;Mironenko@gmail.com
39;Inna;Sidorenko;+79533392657;Moroz@yandex.ru
40;Anton;Duma;+79937595521;Moroz@mail.ru
41;Anna;Moroz;+79097147716;Moroz@mail.ru
42;Anna;Shapiro;+79419240779;Sidorenko@mail.ru
43;Anna;Duma;+79328536843;Moroz@mail.ru
44;Miron;Galich;+79591764421;Shapiro@yandex.ru
45;Igor;Shapiro;+79131359371;Duma@gmail.com
46;Igor;Duma;+79630393313;Shagal@mail.ru
47;Inna;Shapiro;+79514828202;Moroz@mail.ru
48;Anton;Galich;+79492281939;Shagal@mail.ru
49;Alex;Kovalenko;+79876969599;Shapiro@mail.ru
50;Vasilisa;Duma;+79760646715;Shagal@mail.ru
51;Igor;Mironenko;+79635990792;Shagal@mail.ru
52;Inna;Galich;+79198990935;Sidorenko@mail.ru
53;Svetlana;Shagal;+79080845664;Galich@gmail.com
54;Miron;Moroz;+79930899608;Shapiro@mail.ru
55;Anna;Duma;+79742435084;Sidorenko@mail.ru
56;Miron;Duma;+79786139862;Sidorenko@mail.ru
57;Miron;Kovalenko;+79999908319;Kovalenko@gmail.com
58;Anton;Mironenko;+79270062250;Mironenko@mail.ru
59;Viktor;Kovalenko;+79012515021;Duma@mail.ru
60;Miron;Galich;+79303353997;Galich@yandex.ru
61;Igor;Duma;+79812221450;Galich@yandex.ru
62;Vasilisa;Shapiro;+79035527893;Mironenko@mail.ru
63;Alex;Sidorenko;+79584131850;Kovalenko@gmail.com
64;Anton;Kovalenko;+79163506888;Galich@gmail.com
65;Igor;Duma;+79813322441;Moroz@yandex.ru
66;Miron;Sidorenko;+79377725893;Duma@yandex.ru
67;Svetlana;Moroz;+79933428278;Kovalenko@gmail.com
68;Inna;Duma;+79384528816;Shagal@mail.ru
69;Viktor;Duma;+79738946954;Duma@gmail.com
70;Anton;Duma;+79186190740;Duma@mail.ru
71;Anna;Duma;+79574790626;Mironenko@gmail.com
72;Anna;Shapiro;+79732389674;Galich@mail.ru
73;Vasilisa;Kovalenko;+79797711692;Mironenko@mail.ru
74;Olga;Sidorenko;+79068620411;Shagal@yandex.ru
75;Miron;Galich;+79923659607;Galich@yandex.ru
76;Inna;Duma;+79753075002;Mironenko@mail.ru
77;Vasilisa;Sidorenko;+79614784162;Sidorenko@mail.ru
78;Anna;Shagal;+79928608895;Duma@gmail.com
